combination_index,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,answer_signature,selected_option_ids,top_idol_id,top_idol_name,score,confidence,matched_tags,top_user_tags
64503171,A,A,D,D,B,C,A,A,D,D,B,C,A,A,D,AADDBCAADDBCAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-b|works-03-c|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-b|contrast-04-c|spend-01-a|interaction-a|interaction-05-d,lee-know-李旻浩,Lee Know 李旻浩,73,61,清冷|搞笑|实力派|反差型,清冷|搞笑|综艺型|创作型|实力派|温柔|安利型|舞台型
64765379,A,A,D,D,B,D,A,A,D,D,B,D,A,A,D,AADDBDAADDBDAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-b|works-03-d|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-b|contrast-04-d|spend-01-a|interaction-a|interaction-05-d,jin-金硕珍,Jin 金硕珍,71,59,温柔|搞笑|实力派|综艺型,清冷|搞笑|综艺型|实力派|温柔|养成系|安利型|舞台型
65027587,A,A,D,D,C,A,A,A,D,D,C,A,A,A,D,AADDCAAADDCAAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-c|works-03-a|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-c|contrast-04-a|spend-01-a|interaction-a|interaction-05-d,lee-know-李旻浩,Lee Know 李旻浩,74,61,清冷|搞笑|实力派|反差型,搞笑|清冷|综艺型|安利型|舞台型|反差型|温柔|线下应援型
65289795,A,A,D,D,C,B,A,A,D,D,C,B,A,A,D,AADDCBAADDCBAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-c|works-03-b|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-c|contrast-04-b|spend-01-a|interaction-a|interaction-05-d,范丞丞,范丞丞,75,65,热血|搞笑|养成系|演员型|综艺型,搞笑|清冷|综艺型|舞台型|热血|安利型|演员型|温柔
65552003,A,A,D,D,C,C,A,A,D,D,C,C,A,A,D,AADDCCAADDCCAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-c|works-03-c|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-c|contrast-04-c|spend-01-a|interaction-a|interaction-05-d,岸优太-yuta-kishi,岸优太 Yuta Kishi,79,60,搞笑|综艺型,搞笑|综艺型|清冷|安利型|舞台型|温柔|线下应援型|饭圈互动型
65814211,A,A,D,D,C,D,A,A,D,D,C,D,A,A,D,AADDCDAADDCDAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-c|works-03-d|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-c|contrast-04-d|spend-01-a|interaction-a|interaction-05-d,beomgyu-崔杋圭,Beomgyu 崔杋圭,79,65,搞笑|养成系|舞台型|综艺型,搞笑|综艺型|清冷|养成系|安利型|舞台型|热血|温柔
66076419,A,A,D,D,D,A,A,A,D,D,D,A,A,A,D,AADDDAAADDDAAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-d|works-03-a|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-d|contrast-04-a|spend-01-a|interaction-a|interaction-05-d,winter-金旼炡,Winter 金旼炡,72,62,清冷|实力派|舞台型|反差型|明媚,清冷|舞台型|安利型|搞笑|反差型|养成系|热血|实力派
66338627,A,A,D,D,D,B,A,A,D,D,D,B,A,A,D,AADDDBAADDDBAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-d|works-03-b|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-d|contrast-04-b|spend-01-a|interaction-a|interaction-05-d,beomgyu-崔杋圭,Beomgyu 崔杋圭,69,58,搞笑|养成系|舞台型|综艺型,舞台型|清冷|热血|搞笑|养成系|安利型|实力派|综艺型
66600835,A,A,D,D,D,C,A,A,D,D,D,C,A,A,D,AADDDCAADDDCAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-d|works-03-c|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-d|contrast-04-c|spend-01-a|interaction-a|interaction-05-d,beomgyu-崔杋圭,Beomgyu 崔杋圭,74,61,搞笑|养成系|舞台型|综艺型,清冷|搞笑|舞台型|综艺型|养成系|安利型|热血|实力派
66863043,A,A,D,D,D,D,A,A,D,D,D,D,A,A,D,AADDDDAADDDDAAD,visual-01-a|visual-03-a|stage-01-d|stage-03-d|works-01-d|works-03-d|personality-01-a|personality-03-a|companionship-01-d|companionship-03-d|contrast-01-d|contrast-04-d|spend-01-a|interaction-a|interaction-05-d,beomgyu-崔杋圭,Beomgyu 崔杋圭,78,64,搞笑|养成系|舞台型|综艺型,养成系|搞笑|清冷|综艺型|舞台型|热血|安利型|实力派
67125251,A,B,A,A,A,A,A,B,A,A,A,A,A,A,D,ABAAAAABAAAAAAD,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-a|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-a|spend-01-a|interaction-a|interaction-05-d,檀健次,檀健次,79,70,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|热血|安利型|反差型|清冷|实力派
67387459,A,B,A,A,A,B,A,B,A,A,A,B,A,A,D,ABAAABABAAABAAD,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-a|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-b|spend-01-a|interaction-a|interaction-05-d,檀健次,檀健次,78,69,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|温柔|陪伴型|演员型|实力派|养成系|安利型
67649667,A,B,A,A,A,C,A,B,A,A,A,C,A,A,D,ABAAACABAAACAAD,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-a|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-c|spend-01-a|interaction-a|interaction-05-d,檀健次,檀健次,77,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|热血|实力派|养成系|安利型|清冷
67911875,A,B,A,A,A,D,A,B,A,A,A,D,A,A,D,ABAAADABAAADAAD,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-a|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-d|spend-01-a|interaction-a|interaction-05-d,檀健次,檀健次,75,67,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|热血|温柔|陪伴型|养成系|实力派|安利型|演员型
68174084,A,B,A,A,B,A,A,B,A,A,B,A,A,B,A,ABAABAABAABAABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-b|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,74,57,温柔|舞台型,舞台型|温柔|热血|陪伴型|清冷|实力派|反差型|创作型
68436292,A,B,A,A,B,B,A,B,A,A,B,B,A,B,A,ABAABBABAABBABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-b|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,73,56,温柔|舞台型,舞台型|热血|温柔|陪伴型|实力派|清冷|创作型|线下应援型
68698500,A,B,A,A,B,C,A,B,A,A,B,C,A,B,A,ABAABCABAABCABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-b|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,72,55,温柔|舞台型,舞台型|温柔|热血|陪伴型|实力派|清冷|创作型|线下应援型
68960708,A,B,A,A,B,D,A,B,A,A,B,D,A,B,A,ABAABDABAABDABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-b|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,72,55,温柔|舞台型,舞台型|热血|温柔|陪伴型|实力派|养成系|清冷|创作型
69222916,A,B,A,A,C,A,A,B,A,A,C,A,A,B,A,ABAACAABAACAABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-c|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,73,56,温柔|舞台型,舞台型|热血|温柔|陪伴型|反差型|清冷|实力派|搞笑
69485124,A,B,A,A,C,B,A,B,A,A,C,B,A,B,A,ABAACBABAACBABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-c|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,71,54,温柔|舞台型,舞台型|热血|温柔|陪伴型|实力派|搞笑|演员型|线下应援型
69747332,A,B,A,A,C,C,A,B,A,A,C,C,A,B,A,ABAACCABAACCABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-c|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,70,54,温柔|舞台型,舞台型|热血|温柔|陪伴型|搞笑|实力派|综艺型|清冷
70009540,A,B,A,A,C,D,A,B,A,A,C,D,A,B,A,ABAACDABAACDABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-c|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,72,58,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|搞笑|综艺型|养成系|实力派
70271748,A,B,A,A,D,A,A,B,A,A,D,A,A,B,A,ABAADAABAADAABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-d|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,74,59,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|实力派|养成系|反差型|清冷
70533956,A,B,A,A,D,B,A,B,A,A,D,B,A,B,A,ABAADBABAADBABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-d|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,78,62,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|实力派|养成系|线下应援型|清冷
70796164,A,B,A,A,D,C,A,B,A,A,D,C,A,B,A,ABAADCABAADCABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-d|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,75,60,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|实力派|养成系|清冷|线下应援型
71058372,A,B,A,A,D,D,A,B,A,A,D,D,A,B,A,ABAADDABAADDABA,visual-01-a|visual-03-b|stage-a|stage-03-a|works-01-d|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-a|contrast-01-d|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,80,63,热血|养成系|舞台型,舞台型|热血|养成系|温柔|陪伴型|实力派|线下应援型|清冷
71320580,A,B,A,B,A,A,A,B,A,B,A,A,A,B,A,ABABAAABABAAABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-a|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,73,58,热血|养成系|舞台型,舞台型|热血|反差型|演员型|温柔|陪伴型|清冷|线下应援型
71582788,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,ABABABABABABABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-a|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,74,59,热血|养成系|舞台型,舞台型|热血|演员型|温柔|陪伴型|作品型|反差型|线下应援型
71844996,A,B,A,B,A,C,A,B,A,B,A,C,A,B,A,ABABACABABACABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-a|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,73,58,热血|养成系|舞台型,舞台型|热血|演员型|温柔|陪伴型|清冷|反差型|线下应援型
72107204,A,B,A,B,A,D,A,B,A,B,A,D,A,B,A,ABABADABABADABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-a|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-a|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,80,63,热血|养成系|舞台型,舞台型|热血|演员型|温柔|陪伴型|养成系|反差型|线下应援型
72369412,A,B,A,B,B,A,A,B,A,B,B,A,A,B,A,ABABBAABABBAABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-b|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,72,58,热血|养成系|舞台型,舞台型|热血|清冷|温柔|陪伴型|反差型|实力派|创作型
72631620,A,B,A,B,B,B,A,B,A,B,B,B,A,B,A,ABABBBABABBBABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-b|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,75,60,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|清冷|演员型|实力派|创作型
72893828,A,B,A,B,B,C,A,B,A,B,B,C,A,B,A,ABABBCABABBCABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-b|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,71,57,热血|养成系|舞台型,舞台型|热血|温柔|清冷|创作型|陪伴型|实力派|线下应援型
73156036,A,B,A,B,B,D,A,B,A,B,B,D,A,B,A,ABABBDABABBDABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-b|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-b|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,79,63,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|养成系|清冷|实力派|创作型
73418244,A,B,A,B,C,A,A,B,A,B,C,A,A,B,A,ABABCAABABCAABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-c|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,73,58,热血|养成系|舞台型,舞台型|热血|温柔|陪伴型|反差型|清冷|搞笑|演员型
73680452,A,B,A,B,C,B,A,B,A,B,C,B,A,B,A,ABABCBABABCBABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-c|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,75,60,热血|养成系|舞台型,舞台型|热血|演员型|温柔|陪伴型|搞笑|线下应援型|清冷
73942660,A,B,A,B,C,C,A,B,A,B,C,C,A,B,A,ABABCCABABCCABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-c|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,72,58,热血|养成系|舞台型,舞台型|热血|搞笑|温柔|陪伴型|综艺型|清冷|演员型
74204868,A,B,A,B,C,D,A,B,A,B,C,D,A,B,A,ABABCDABABCDABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-c|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-c|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,79,63,热血|养成系|舞台型,舞台型|热血|搞笑|综艺型|温柔|陪伴型|养成系|演员型
74467076,A,B,A,B,D,A,A,B,A,B,D,A,A,B,A,ABABDAABABDAABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-d|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,80,63,热血|养成系|舞台型,舞台型|热血|养成系|温柔|陪伴型|反差型|清冷|实力派
74729284,A,B,A,B,D,B,A,B,A,B,D,B,A,B,A,ABABDBABABDBABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-d|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,82,65,热血|养成系|舞台型,舞台型|热血|养成系|温柔|陪伴型|演员型|实力派|线下应援型
74991492,A,B,A,B,D,C,A,B,A,B,D,C,A,B,A,ABABDCABABDCABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-d|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,81,64,热血|养成系|舞台型,舞台型|热血|养成系|温柔|陪伴型|清冷|实力派|线下应援型
75253700,A,B,A,B,D,D,A,B,A,B,D,D,A,B,A,ABABDDABABDDABA,visual-01-a|visual-03-b|stage-a|stage-03-b|works-01-d|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-b|contrast-01-d|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,86,67,热血|养成系|舞台型,舞台型|热血|养成系|温柔|陪伴型|实力派|线下应援型|清冷
75515908,A,B,A,C,A,A,A,B,A,C,A,A,A,B,A,ABACAAABACAAABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-a|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,檀健次,檀健次,70,61,温柔|舞台型|演员型|陪伴型|反差型,舞台型|热血|陪伴型|反差型|温柔|清冷|高级感|演员型
75778116,A,B,A,C,A,B,A,B,A,C,A,B,A,B,A,ABACABABACABABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-a|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,70,56,热血|养成系|舞台型,舞台型|热血|陪伴型|演员型|温柔|高级感|作品型|收藏型
76040324,A,B,A,C,A,C,A,B,A,C,A,C,A,B,A,ABACACABACACABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-a|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,67,54,热血|养成系|舞台型,舞台型|热血|陪伴型|温柔|高级感|搞笑|清冷|演员型
76302532,A,B,A,C,A,D,A,B,A,C,A,D,A,B,A,ABACADABACADABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-a|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-a|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,75,60,热血|养成系|舞台型,舞台型|热血|陪伴型|温柔|养成系|高级感|搞笑|演员型
76564740,A,B,A,C,B,A,A,B,A,C,B,A,A,B,A,ABACBAABACBAABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-b|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,67,52,温柔|舞台型,舞台型|热血|清冷|陪伴型|温柔|反差型|高级感|实力派
76826948,A,B,A,C,B,B,A,B,A,C,B,B,A,B,A,ABACBBABACBBABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-b|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,70,56,热血|养成系|舞台型,舞台型|热血|陪伴型|温柔|清冷|高级感|实力派|创作型
77089156,A,B,A,C,B,C,A,B,A,C,B,C,A,B,A,ABACBCABACBCABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-b|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,65,50,温柔|舞台型,舞台型|热血|陪伴型|温柔|清冷|创作型|高级感|搞笑
77351364,A,B,A,C,B,D,A,B,A,C,B,D,A,B,A,ABACBDABACBDABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-b|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-b|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,73,58,热血|养成系|舞台型,舞台型|热血|陪伴型|温柔|养成系|清冷|高级感|实力派
77613572,A,B,A,C,C,A,A,B,A,C,C,A,A,B,A,ABACCAABACCAABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-c|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,67,54,热血|养成系|舞台型,舞台型|热血|陪伴型|搞笑|温柔|反差型|清冷|高级感
77875780,A,B,A,C,C,B,A,B,A,C,C,B,A,B,A,ABACCBABACCBABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-c|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,71,57,热血|养成系|舞台型,舞台型|热血|陪伴型|搞笑|温柔|高级感|演员型|收藏型
78137988,A,B,A,C,C,C,A,B,A,C,C,C,A,B,A,ABACCCABACCCABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-c|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,beomgyu-崔杋圭,Beomgyu 崔杋圭,71,59,搞笑|养成系|舞台型|综艺型,舞台型|搞笑|热血|陪伴型|温柔|高级感|综艺型|清冷
78400196,A,B,A,C,C,D,A,B,A,C,C,D,A,B,A,ABACCDABACCDABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-c|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-c|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,beomgyu-崔杋圭,Beomgyu 崔杋圭,75,62,搞笑|养成系|舞台型|综艺型,舞台型|热血|搞笑|陪伴型|综艺型|温柔|养成系|高级感
78662404,A,B,A,C,D,A,A,B,A,C,D,A,A,B,A,ABACDAABACDAABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-d|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,76,60,热血|养成系|舞台型,舞台型|热血|陪伴型|养成系|温柔|反差型|清冷|高级感
78924612,A,B,A,C,D,B,A,B,A,C,D,B,A,B,A,ABACDBABACDBABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-d|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,80,63,热血|养成系|舞台型,舞台型|热血|陪伴型|养成系|温柔|高级感|实力派|收藏型
79186820,A,B,A,C,D,C,A,B,A,C,D,C,A,B,A,ABACDCABACDCABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-d|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,76,60,热血|养成系|舞台型,舞台型|热血|陪伴型|养成系|温柔|高级感|搞笑|清冷
79449028,A,B,A,C,D,D,A,B,A,C,D,D,A,B,A,ABACDDABACDDABA,visual-01-a|visual-03-b|stage-a|stage-03-c|works-01-d|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-c|contrast-01-d|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,82,65,热血|养成系|舞台型,舞台型|热血|养成系|陪伴型|温柔|高级感|搞笑|实力派
79711236,A,B,A,D,A,A,A,B,A,D,A,A,A,B,A,ABADAAABADAAABA,visual-01-a|visual-03-b|stage-a|stage-03-d|works-01-a|works-03-a|personality-01-a|personality-03-b|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-a|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,72,58,热血|养成系|舞台型,舞台型|热血|反差型|温柔|陪伴型|清冷|演员型|线下应援型
79973444,A,B,A,D,A,B,A,B,A,D,A,B,A,B,A,ABADABABADABABA,visual-01-a|visual-03-b|stage-a|stage-03-d|works-01-a|works-03-b|personality-01-a|personality-03-b|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-b|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,74,59,热血|养成系|舞台型,热血|舞台型|演员型|温柔|陪伴型|作品型|反差型|线下应援型
80235652,A,B,A,D,A,C,A,B,A,D,A,C,A,B,A,ABADACABADACABA,visual-01-a|visual-03-b|stage-a|stage-03-d|works-01-a|works-03-c|personality-01-a|personality-03-b|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-c|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,70,56,热血|养成系|舞台型,热血|舞台型|温柔|陪伴型|搞笑|清冷|综艺型|演员型
80497860,A,B,A,D,A,D,A,B,A,D,A,D,A,B,A,ABADADABADADABA,visual-01-a|visual-03-b|stage-a|stage-03-d|works-01-a|works-03-d|personality-01-a|personality-03-b|companionship-01-a|companionship-03-d|contrast-01-a|contrast-04-d|spend-01-a|interaction-01-b|interaction-05-a,刘耀文,刘耀文,78,62,热血|养成系|舞台型,热血|舞台型|温柔|陪伴型|养成系|综艺型|搞笑|演员型
